conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1885837506039718108,Sat Feb 01 23:47:53 +0000 2025,217,Baru kali ini nulis op-ed nggak sebagai profesional tapi sebagai slow reader yang prihatin. Nggak nawarin solusi juga Makasih @jakpost mau memberikan ruang :) Aku tag figur yang kayaknya suka baca ya: Pak @aniesbaswedan Pak @prabowo Mbak @NajwaShihab https://t.co/N0r2sQtfeD,1885837506039718108.1,https://pbs.twimg.com/media/GivXNpGb0AA8_-W.jpg,Unnamed: 6,in,Unnamed: 8,2,2.1,68,https://x.com/undefined/status/1885837506039718108,69806285,Unnamed: 14,1897797749695037858,Thu Mar 06 23:53:37 +0000 2025,2384,Jalan Mundur Demokrasi Indonesia Masyarakat sipil melihat terjadi gejala kemerosotan demokrasi pada awal pemerintahan Prabowo Subianto. Penilaian masyarakat sipil ini sejalan dengan hasil riset The Economist Intelligence Unit (EIU). Hasil riset lembaga kajian dan analisis yang https://t.co/JkdRqt5Zz9,1897797749695037858.1,https://pbs.twimg.com/media/GlZU_jsbwAAj6Hj.jpg,16,40,1027,https://x.com/undefined/status/1897797749695037858,18129942,1921682434594091108,Sun May 11 21:42:50 +0000 2025,Salut les pd https://t.co/2h3UT180wb,1921682434594091108.1,https://pbs.twimg.com/media/Gqsv_YwWUAAQwwW.jpg,fr,0,0.1,0.2,https://x.com/undefined/status/1921682434594091108,1532858223916613632
1.9391040244748905e+18,Sat Jun 28 23:30:00 +0000 2025,0.0,Pengamat Geopolitik dan Intelijen: Prabowo Mulai Preteli Kekuasaan Jokowi https://t.co/OHjiiqgeXE,1.9391040244748905e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939104024474890467,8.537829377827144e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9387831250328374e+18,Sat Jun 28 19:26:43 +0000 2025,0.0,@NoemeeBelonta Seneng banget liat Presiden Prabowo fokus sama kesehatan masyarakat dengan program makan bergizi gratis,1.9390427997747697e+18,,NoemeeBelonta,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939042799774769625,1.7021998150217073e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390665669493683e+18,Sat Jun 28 21:01:10 +0000 2025,0.0,Lu enak lu enak emg nya gw makanan hah !!!,1.9390665669493683e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939066566949368239,1373921305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.93906750965273e+18,Sat Jun 28 21:04:55 +0000 2025,0.0,PSID Sebut AHY Jadi Figur Eksekutif Aktif di Era Prabowo https://t.co/50xXpmRR8M,1.93906750965273e+18,https://pbs.twimg.com/media/GujznLlaoAA8zQc.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939067509652730176,1.718288468630192e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390594830131983e+18,Sat Jun 28 20:33:01 +0000 2025,0.0,Serius nih @prabowo masa mau sih disuruh bersihin nama sama bawahan pecat aja gak sih? Soal kartu as bapak harusnya aman kalo jadi petahana kalo bisa mobilisasi koalisi bang J buat mundur teratur dan kerahin pasukan bapak ️,1.9390594830131983e+18,,,in,,0.0,1.0,0.0,https://x.com/undefined/status/1939059483013198212,387592739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390728216465e+18,Sat Jun 28 21:26:01 +0000 2025,0.0,Good Nih Presiden Prabowo Optimistis Swasembada Energi Bisa Dipercepat Pertamina Jadi Garda Terdepan Selalu Kita Dukung https://t.co/qbLlEG5H7p,1.9390728216465e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939072821646500066,1566138534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390058829286362e+18,Sat Jun 28 17:00:02 +0000 2025,0.0,Hari ke-253 Bapak Prabowo sebagai Presiden RI ke-8. @prabowo,1.9390058829286362e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939005882928636096,1.8480426821842575e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390582212911268e+18,Sat Jun 28 20:28:00 +0000 2025,0.0,Presiden Prabowo menunjukkan optimisme bahwa Indonesia bisa mempercepat pencapaian swasembada energi dan menempatkan Pertamina sebagai ujung tombak dalam proses tersebut. https://t.co/SEeu6rNB5T,1.9390582212911268e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939058221291126855,2758808680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390975967207631e+18,Sat Jun 28 23:04:28 +0000 2025,1.0,Presiden RI Prabowo Subianto telah melakukan kunjungan kerja di Bali pada pekan ini. Di sela kesibukan #Prabowo sempat bertemu dengan Ketua DPD #Gerindra #Bali Made Muliawan Arya #degadjah. #Statement Baca di https://t.co/tlBikhPzvX,1.9390975967207631e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939097596720763039,1116102769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9387833516972526e+18,Sat Jun 28 16:32:59 +0000 2025,0.0,@IndonesiaJadi Keren sih Presiden Prabowo program makan bergizi gratis nunjukin keberpihakan nyata ke anak Indonesia,1.9389990789244933e+18,,IndonesiaJadi,in,,0.0,0.0,0.0,https://x.com/undefined/status/1938999078924493293,1.6949121898519593e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9391106875168036e+18,Sat Jun 28 23:56:29 +0000 2025,4.0,Pak @prabowo @KPK_RI @KejaksaanRI semoga hukuman mati buat koruptor,1.9391106875168036e+18,,,in,,0.0,0.0,1.0,https://x.com/undefined/status/1939110687516803525,1.6035437151001313e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
